Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
BCS-A,"Barclays Bank plc,",7.10%,No,No,No,No,Non-cum Callable Dollar Preference Shares Series 3 ADR,12/15/12,3/15/17
INZ,"ING Groep N.V.,",7.20%,No,Yes,No,No,ING Perpetual Debt Securities,12/15/07,3/15/17
RJD,"Raymond James Financial,",6.90%,No,No,No,No,Senior Notes due 3/15/2042,3/15/17,3/15/17
HCN-J,"Welltower, Inc.,",6.50%,Yes,No,No,Yes,Series J Cumulative Redeemable Preferred Stock,3/07/17,3/07/17
HTGY,"Hercules Capital,",7.00%,No,No,No,No,Senior Notes due 9/30/2019,9/30/15,2/24/17
HTGZ,"Hercules Capital,",7.00%,No,No,No,No,Senior Notes due 4/30/2019,4/30/15,2/24/17
NNN-D,"National Retail Properties,",6.625%,Yes,No,No,Yes,Dep Shares Series D Cumul Red Preferred Stk,2/23/17,2/23/17
MCQ,"Medley Capital Corp.,",7.125%,No,No,No,No,Senior Notes due 3/30/2019,3/30/15,2/22/17
REG-F,"Regency Centers Corp.,",6.625%,Yes,No,No,Yes,Series 6 Cumulative Redeemable Preferred Stock,2/16/17,2/16/17
KEY-H,"KeyCorp,",8.625%,No,Yes,No,No,Fixed/Float Perp Non-Cumulative Preferred Stock Series C,2/15/17,2/15/17
FRC-A,"First Republic Bank,",6.70%,No,Yes,No,No,Dep Shares Series A Non-cumul Perp Preferred Stock,1/15/17,1/30/17
PSB-S*,"PS Business Parks,",6.45%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series S",1/18/17,1/18/17
SAQ*,"Saratoga Investment Corp.,",7.50%,No,No,No,No,Notes due 5/31/2020,5/31/16,1/13/17
UVVZP,"Universal Corp.,",6.75%,No,Yes,Yes,No,Convertible Perpetual Preferred Stock,3/15/13,1/13/17
AHL-A*,"Aspen Insurance Holdings Ltd,",7.401%,No,Yes,No,No,Fixed/Adj Perp Non-Cumul Preference Shares,1/01/17,1/01/17
AVV*,"Aviva plc,",8.25%,No,No,No,No,Capital Securities due 12/1/2041,12/01/16,12/01/16
KFH*,"KKR Financial Holdings LLC,",8.375%,No,No,No,No,Senior Notes due 11/15/2041,11/15/16,11/15/16
EPM-A*,"Evolution Petroleum Corp.,",8.50%,Yes,No,No,No,Series A Cumulative Preferred Stock,7/01/14,11/14/16
CUBE-A*,"CubeSmart,",7.75%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Shares,11/02/16,11/02/16
STAG-A*,"Stag Industrial,",9.00%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,11/02/16,11/02/16
PRE-D*,"PartnerRe Ltd,",6.50%,Yes,No,No,Yes,Series D Cumulative Redeemable Preferred Shares,11/15/09,11/01/16
PRE-E*,"PartnerRe Ltd,",7.25%,Yes,No,No,Yes,Series E Cumulative Redeemable Preferred Shares,6/01/16,11/01/16
CCI-A*,"Crown Castle Intl Corp.,",4.50%,No,No,Yes,No,"Mandatory Convertible Preferred Stock, Series A",11/01/16,11/01/16
GSJ*,"Goldman Sachs Group,",6.50%,No,No,No,No,Notes due 11/1/2061,11/01/16,11/01/16
DORLP*,"Doral Financial Corp.,",7.00%,No,No,No,No,Non-cumul Monthly Income Preferred Stock Series A,2/28/06,10/28/16
DORLQ*,"Doral Financial Corp.,",4.75%,Yes,Yes,Yes,No,Perpetual Cumulative Convertible Preferred Stock,9/30/08,10/28/16
DORNQ*,"Doral Financial Corp.,",7.25%,No,No,No,No,Non-cumul Monthly Income Preferred Stock Series C,5/31/09,10/28/16
DOROQ*,"Doral Financial Corp.,",8.35%,No,No,No,No,"Non-cumul Monthly Income Preferred Stock, Series B",9/30/07,10/28/16
INN-A*,"Summit Hotel Properties,",9.25%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,10/28/16,10/28/16
EYMXP*,"Entergy Mississippi,",6.25%,Yes,No,No,No,Series Cumulative Preferred Stock,8/01/10,10/25/16
NRGEO*,"NRG Energy Inc.,",4%,No,Yes,Yes,No,Convertible Perpetual Preferred Stock,12/20/09,10/25/16
INTLL*,"Intl FCStone, Inc.,",8.50%,No,No,No,No,Senior Notes due 7/30/2020,7/30/16,10/15/16
MNR-A*,"Monmouth Real Estate Investment,",7.625%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,12/05/11,10/14/16
DAYPO*,"Dayton Power &amp; Light Co.,",3.90%,No,No,No,No,Series C Preferred Stock,N/A,10/10/16
DAYTL*,"Dayton Power &amp; Light Co.,",3.75%,No,No,No,No,Series A Preferred Stock,N/A,10/10/16
DAYTP*,"Dayton Power &amp; Light Co.,",3.75%,No,No,No,No,Series B Preferred Stock,N/A,10/10/16
KYN-G*,"Kayne Anderson MLP Investment Co.,",4.60%,No,No,No,Yes,Series G Mand Redeem Preferred Shares,9/30/15,10/03/16
PJS*,ML Depositor PreferredPlus,7.55%,No,No,No,No,First American Certificates FAR-1,10/01/07,10/03/16
GAINP*,"Gladstone Investment Corp.,",7.125%,Yes,No,No,No,Series A Cumulative Term Preferred Stock,2/28/16,9/30/16
KAP,"KCAP Financial,",7.375%,No,No,No,No,Senior Notes due 9/30/2019,9/30/15,9/23/16
RBS-R*,"Royal Bank of Scotland,",6.125%,No,No,No,No,Non-cumul Dollar Preference Shares Series R ADR,12/30/11,9/23/16
RBS-T*,"Royal Bank of Scotland,",7.25%,No,No,No,No,Non-cumul Dollar Preference Shares Series T ADR,12/31/12,9/23/16
VPGIP*,"Velocity Portfolio Group,",10%,No,No,Yes,No,Series A Convertible Preferred Stock,5/18/09,9/19/16
EGXKP*,"Entergy Arkansas,",6.45%,Yes,No,No,No,Cumulative Preferred Stock,4/01/11,9/15/16
EGYKP*,"Entergy Arkansas,",6.08%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,9/15/16
CTW,"Qwest Corporation,",7.50%,No,No,No,No,Notes due 9/15/2051,9/15/16,9/15/16
ASB-B*,"Associated Banc-Corp,",8.00%,No,Yes,No,No,Dep Shares Non-Cumul Perp Preferred Stock Series B,9/15/16,9/15/16
BCS-*,"Barclays Bank plc,",6.625%,No,No,No,No,Non-cum Callable Dollar Preference Shares Series 2 ADR,9/15/11,9/15/16
IND*,"ING Groep N.V.,",7.05%,No,Yes,No,No,ING Perpetual Debt Securities,9/15/07,9/15/16
BGLEH*,"Baltimore Gas &amp; Electric Co.,",6.97%,Yes,No,No,No,Series 1993 Cumul Preference Stock,10/01/13,9/14/16
BGLEN*,"Baltimore Gas &amp; Electric Co.,",6.70%,Yes,No,No,No,Series 1993 Cumul Preference Stock,1/01/14,9/14/16
CTQ*,"Qwest Corporation,",7.375%,No,No,No,No,Notes due 6/1/2051,6/01/16,8/27/16
GOODN*,"Gladstone Commercial Corp.,",7.125%,Yes,No,No,No,Series C Cumul Term Preferred Stock 1/31/17,1/31/16,8/19/16
SFN**,"Stifel Financial Corp.,",5.375%,No,No,No,No,Senior Notes due 12/31/2022,12/31/15,8/12/16
GXP-A*,"Great Plains Energy Inc.,",3.80%,Yes,No,No,No,Cumulative Preferred Stock,N/A,8/10/16
GXP-D*,"Great Plains Energy Inc.,",4.35%,Yes,No,No,No,Cumul Preferred Stock,N/A,8/10/16
GXP-E*,"Great Plains Energy Inc.,",4.50%,Yes,No,No,No,Cumul Preferred Stock,N/A,8/10/16
GXPPL*,"Great Plains Energy Inc.,",4.20%,Yes,No,No,No,Cumul Preferred Stock,N/A,8/10/16
AIV-Z*,"Apartment Investment &amp; Management,",7.00%,Yes,No,No,No,Class Z Cumulative Preferred Stock,7/29/16,7/29/16
PSA-R**,"Public Storage Inc.,",6.35%,Yes,No,No,No,Dep Shares Cumulative Preferred Stock Series R,7/26/16,7/26/16
DFT-B*,"DuPont Fabros Technology,",7.625%,Yes,Yes,No,Yes,Series B Cumul Redeem Perp Preferred Stock,3/15/16,7/15/16
HSFC-B*,"HSBC Finance Corp.,",6.36%,No,No,No,No,"Dep Shares, Non-Cumulative Preferred Stock, Series B",6/24/10,6/30/16
HUSI-H*,"HSBC USA Inc.,",6.50%,No,No,No,No,"Dep Shares Non-Cumul Preferred Stock, Series H",7/01/11,6/30/16
BGLEP*,"Baltimore Gas &amp; Electric Co.,",6.99%,Yes,No,No,No,Series 1995 Cumul Preference Stock,10/01/15,6/29/16
BGLEI*,"Baltimore Gas &amp; Electric Co.,",7.125%,Yes,No,No,No,Series 1993 Cumulative Preference Stock,7/01/13,6/29/16
SSW-C*,"Seaspan Corp.,",9.50%,Yes,Yes,No,Yes,Series C Cumulative Redeemable Perpetual Preferred Shares,1/30/16,6/20/16
MHNA*,"Maiden Holdings North America Ltd,",8.25%,No,No,No,No,Notes due 6/15/2041,6/15/16,6/15/16
BCS-C*,"Barclays Bank plc,",7.75%,No,No,No,No,"Non-cum Callable Dollar Preference Shares, Series 4 ADR",3/15/13,6/15/16
DFT-A*,"DuPont Fabros Technology,",7.875%,Yes,Yes,No,Yes,Series A Cumul Redeem Perp Preferred Stock,10/15/15,6/09/16
ENH-B*,"Endurance Specialty Holdings Ltd,",7.50%,No,No,No,No,"Non-Cumul Preferred Shares, Series B",6/01/16,6/01/16
GUA*,"Gulf Power Co.,",5.75%,No,No,No,No,Series 2011A Senior Notes due 6/1/2051,5/18/16,5/18/16
ALLY-B*,"Ally Financial,",8.50%,No,Yes,No,No,"Fixed Rate/Floating Rate Perp Preferred Stock, Series A",5/15/16,5/16/16
EQC-E*,"Equity Commonwealth,",7 1/4%,Yes,No,No,Yes,Series E Cumulative Redeemable Preferred Shares,5/15/16,5/15/16
I-A*,"Intelsat S.A.,",5.75%,No,No,Yes,No,Series A Mandatory Convertible Junior Preferred Shares,5/01/16,5/01/16
BOCA*,"Banc of California,",7.50%,No,No,No,No,Senior Notes due 4/15/2020,4/15/15,4/15/16
PSA-Q**,"Public Storage Inc.,",6.50%,Yes,No,No,No,Dep Shares Cumul Preferred Stock Series Q,4/14/16,4/15/16
IRC-A*,"Inland Real Estate Corp.,",8.125%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,10/06/16,4/14/16
IRC-B*,"Inland Real Estate Corp.,",6.95%,Yes,No,No,Yes,Series B Cumulative Redeemable Preferred Stock,10/16/19,4/14/16
SHO-D*,"Sunstone Hotel Investors,",8.00%,Yes,No,No,Yes,Series D Cumulative Redeemable Preferred Stock,4/06/16,4/06/16
EMMSP*,"Emmis Communications Corp.,",6.25%,Yes,No,Yes,No,Series A Cumul Convertible Preferred Stock,10/15/02,4/04/16
DCUA*,"Dominion Resources,",6.125%  2013,No,No,No,No,Series A Equity Units,4/01/16,4/01/16
SCEDP**,"Southern California Edison,",6.50%,No,No,No,No,Series D Preference Stock,3/01/16,3/28/16
LBARP*,"LBA Fund II WBP Inc.,",7.625%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,4/06/09,3/18/16
TYG-B*,"Tortoise Energy Infrastructure Corp.,",4.375%,No,No,No,Yes,Mand Redeem Pfd Shares B 12/31/27,12/31/15,3/14/16
PRGNL*,"Paragon Shipping,",8.375%,No,No,No,No,Senior Notes due 8/15/2021,8/15/17,3/14/16
CCG-A*,"Campus Crest Communities,",8.00%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,2/09/17,3/04/16
KYN-E*,"Kayne Anderson MLP Investment Co.,",4.25%,No,No,No,Yes,Series E Mand Redeem Preferred Shares,3/20/15,2/12/16
CLV*,"Cliffs Natural Resources,",7.00%,No,No,Yes,No,Dep Shares Series A Mand Conv Preferred Stock,2/01/16,2/01/16
AXPHF*,"Axis Capital Holdings Ltd,",7.50%,No,No,No,No,Series B Fixed/Float Non-cumul Preferred Shares,12/01/15,1/27/16
AVSSP*,"Avesis Inc.,",$0.90,Yes,No,Yes,No,Class A Nonvot Cumul Convertible Preferred Stock Series 2,N/A,1/14/16
TYG-C*,"Tortoise Energy Infrastructure Corp.,",3.95%,No,No,No,Yes,Ser C Mand Red Pfd Shares 5/1/2018,5/01/15,1/08/16
ENH-A*,"Endurance Specialty Holdings Ltd,",7.75%,No,No,No,No,"Non-Cumul Preferred Shares, Series A",12/15/15,12/24/15
SWU*,"Stanley Black &amp; Decker,",4.75%,No,No,Yes,No,Convertible Preferred Units,11/17/15,12/24/15
NBGPY*,"National Bank of Greece S.A.,",$2.25,No,No,No,No,Non-cumulative Preference Shares Series A,6/06/13,12/14/15
HPP-B*,"Hudson Pacific Properties,",8.375%,Yes,No,No,Yes,Series B Cumulative Redeem Preferred Shares,12/10/15,12/10/15
PBI-A*,"Pitney Bowes, Inc.,",5.25%,No,No,No,No,Notes due 11/27/2022,11/27/15,11/27/15
KIM-H*,"Kimco Realty Corp.,",6.90%,Yes,No,No,Yes,Class H Dep Shares Cumul Redeem Preferred Stock,8/30/15,11/25/15
WIPSI*,"Wisconsin Public Service Corp.,",6.88%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,11/13/15
WIPSL*,"Wisconsin Public Service Corp.,",5.08%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,11/13/15
WIPSM*,"Wisconsin Public Service Corp.,",5.04%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,11/13/15
WIPSO*,"Wisconsin Public Service Corp.,",5.00%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,11/13/15
WSPBP*,"Wisconsin Public Service Corp.,",6.76%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,11/13/15
GSF**,"Goldman Sachs Group,",6.125%,No,No,No,No,Notes due 11/1/2060,11/01/15,11/01/15
ARY**,"Ares Capital Corp.,",7.75%,No,No,No,No,Senior Notes due 10/15/2040,10/15/15,10/28/15
BIR-A*,"Berkshire Income Realty,",9.00%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,2/15/10,10/28/15
AFM*,"Affiliated Managers Group,",5.25%,No,No,No,No,Senior Notes due 10/15/2022,10/15/15,10/22/15
PSB-R*,"PS Business Parks,",6.875%,Yes,No,No,No,"Dep Shares Cumulative Preferred Stock, Series R",10/15/15,10/15/15
PSA-P*,"Public Storage Inc.,",6.50%,Yes,No,No,No,Dep Shares Cumulative Preferred Stock Series P,10/07/15,10/08/15
EYGUL*,"Entergy Gulf States, Inc. Pref Ser A",8.25,No,No,No,No,144A,N/A,10/02/15
AFQ*,"American Financial Group,",7.00%,No,No,No,No,Senior Notes due 9/30/2050,9/30/15,9/30/15
ELUOP*,"Entergy Louisiana LLC,",6.95%,Yes,Yes,No,No,"Perp Cumul Pfd Membership Interest, Series A",12/01/10,9/28/15
RBS-M*,"Royal Bank of Scotland,",6.40%,No,No,No,No,Non-cumul Dollar Preference Shares Series M ADR,9/30/09,9/01/15
RBS-N*,"Royal Bank of Scotland,",6.35%,No,No,No,No,Non-cumul Dollar Preference Shares Series N ADR,6/30/10,9/01/15
RBS-P*,"Royal Bank of Scotland,",6.25%,No,No,No,No,Non-cumul Dollar Preference Shares Series P ADR,12/31/10,9/01/15
RBS-Q*,"Royal Bank of Scotland,",6.75%,No,No,No,No,Non-cumul Dollar Preference Shares Series Q ADR,6/30/11,9/01/15
CSBQP*,"Cornerstone Bancshares, Inc.,",10.00%,Yes,No,Yes,No,Cumul Convertible Ser A Preferred Stock,7/31/15,8/31/15
OXLCP*,"Oxford Lane Capital Corp.,",8.50%,Yes,No,No,No,Cumulative Series 2017 Term Preferred Shares,12/31/14,7/24/15
IDG*,"ING Groep N.V.,",7.375%,No,Yes,No,No,ING Perpetual Hybrid Capital Securities,10/15/12,7/15/15
MET-B*,"MetLife,",6.50%,No,No,No,No,"Non-Cumulative Preferred Stock, Series B",9/15/10,7/01/15
PFG-B*,"Principal Financial Group,",6.518%,No,Yes,No,No,Series B Non-cumul Perp Preferred Stock,6/30/15,6/30/15
MRH-A*,"Montpelier RE Holdings Ltd,",8.875%,No,No,No,No,"Non-Cumulative Preferred Shares, Series A",5/10/16,6/29/15
HUSI-Z*,"HSBC USA Inc.,",$2.8575,Yes,No,No,No,Cumulative Preferred Stock,10/01/07,6/26/15
PFGZP*,"Principal Financial Group,",5.563%,No,Yes,No,No,Series A Non-Cumul Perp Preferred Stock,6/30/15,6/25/15
TCC**,"Triangle Capital Corp.,",7.00%,No,No,No,No,Senior Notes due 3/15/2019,3/15/15,6/22/15
WSRFP*,"Webster Financial Corp.,",8.50%,No,Yes,Yes,No,Series A Non-Cumul Perp Conv Preferred Stock,6/15/13,6/01/15
NEXWU*,"NextEra Energy, Inc.,",5.599%,No,No,No,No,Equity Units due 6/01/2015,6/01/15,6/01/15
PRY*,"Prospect Capital Corp.,",6.95%,No,No,No,No,Senior Notes due 11/15/2022,5/15/15,5/15/15
ALP-N*,"Alabama Power Co.,",5.20%,Yes,No,No,No,Class A Cumulative Preferred Stock,8/19/08,5/15/15
ALP-P*,"Alabama Power Co.,",5.30%,Yes,No,No,No,Class A Cumulative Preferred Stock,4/01/09,5/15/15
ALBPP*,"Alabama Power Co.,",5.625%,No,No,No,No,Series Non-Cumulative Preference Stock,1/01/12,5/15/15
WRI-F*,"Weingarten Realty Investors,",6.50%,Yes,No,No,No,Dep Shares Cumul Preferred Shares Series F,1/30/12,5/08/15
NTX-C*,"Nuveen Texas Quality Income Municipal Fund,",2.30%,No,No,No,No,MTP Pfd,12/01/12,4/20/15
PSA-O*,"Public Storage Inc.,",6.875%,Yes,No,No,No,Dep Shares Cumulative Preferred Stock Series O,4/15/15,4/15/15
WPG-G*,"WP GLIMCHER, Inc.,",8 1/8%,Yes,No,No,Yes,"Cumulative Redeemable Preferred Shares, Series G",2/23/09,4/15/15
DQUEK*,"Duquesne Light Co.,",6.50%,Yes,No,No,No,Cumul Preferred Stock,4/01/09,4/06/15
JPM-C*,"JPMorgan Chase Capital XXIX,",6.70%,No,No,No,No,"Capital Securities, Series CC",4/02/15,4/02/15
ARN*,"Ares Capital Corp.,",7.00%,No,No,No,No,Senior Notes due 2/15/2022,2/15/15,3/16/15
APL-E*,"Atlas Pipeline Partners L.P.,",8.25%,Yes,Yes,No,Yes,Class E Cumulative Red Perp Preferred Units,3/17/19,2/28/15
NXJ-C*,"Nuveen New Jersey Dividend Advantage Municipal Fund 2,",2.00%,No,No,No,No,MTP Pfd 11/1/2015,10/31/12,2/09/15
NOM-C*,"Nuveen Missouri Premium Income Municipal Fund,",2.10%,No,No,No,No,MTP Pfd 12/1/2015,12/01/12,2/09/15
WLBPZ*,"Westmoreland Coal Co.,",8.50%,No,No,Yes,No,Dep Shares Convertible Exch Preferred Stock A,7/01/02,2/04/15
SCU*,"SCANA Corp.,",7.70%,No,No,No,No,"Enhanced Junior Subordinated Notes, 2009 Series A",1/30/15,2/02/15
SFB*,"Stifel Financial Corp.,",6.70%,No,No,No,No,Senior Notes due 1/15/2022,1/15/15,1/15/15
BEE-B*,"Strategic Hotels &amp; Resorts,",8.25%,Yes,No,No,Yes,Series B Cumul Redeem Preferred Stock,1/31/11,1/05/15
DCAQP*,"DRA CRT Acquisition Corp.,",8.50%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,9/10/08,1/02/15
ANLDP*,"American Land Lease,",7.75%,Yes,No,No,Yes,Series A Cumulative Redeemable Preferred Stock,2/23/10,12/26/14
DRE-K*,"Duke Realty Corp.,",6.50%,Yes,No,No,No,Dep Shares Series K Cumul Preferred Shares,2/13/09,12/24/14
DRE-L*,"Duke Realty Corp.,",6.60%,Yes,No,No,No,Dep Shares Series L Cumul Preferred Shares,11/30/09,12/15/14
BFS-A*,"Saul Centers,",8.00%,Yes,No,No,Yes,Dep Shares Series A Cumulative Redeemable Preferred Stock,11/05/08,12/14/14
MOL*,Citigroup Funding,2%,No,No,No,No,Min Principal Prot Notes based on Gold Price due 11/26/2014,N/A,11/26/14
UBP-D*,"Urstadt Biddle Properties,",7.50%,Yes,No,No,No,Series D Senior Cumulative Preferred Stock,4/12/10,11/21/14
EQCN*,"Equity Commonwealth,",7.50%,No,No,No,No,Senior Notes due 11/15/2019,11/15/14,11/17/14
O-E*,"Realty Income Corp.,",6.75%,Yes,No,No,Yes,Class E Cumulative Redeemable Preferred Stock,12/07/11,10/24/14
VEL-E*,"Virginia Electric &amp; Power Co.,",$5.00,Yes,No,No,No,Cumulative Preferred Stock,N/A,10/20/14
VELPI*,"Virginia Electric &amp; Power Co.,",$7.05,Yes,No,No,No,Cumulative Preferred Stock,N/A,10/15/14
VELPL*,"Virginia Electric &amp; Power Co.,",$6.98,Yes,No,No,No,Cumulative Preferred Stock,9/01/13,10/15/14
VELPM*,"Virginia Electric &amp; Power Co.,",$4.80,Yes,No,No,No,Cumul Preferred Stock,N/A,10/15/14
VELPN*,"Virginia Electric &amp; Power Co.,",$4.20,Yes,No,No,No,Cumul Preferred Stock,N/A,10/15/14
VELPO*,"Virginia Electric &amp; Power Co.,",$4.12,Yes,No,No,No,Cumul Preferred Stock,N/A,10/15/14
VELPP*,"Virginia Electric &amp; Power Co.,",$4.04,Yes,No,No,No,Cumul Preferred Stock,N/A,10/15/14
PLP*,"Protective Life Corp.,",8.00%,No,No,No,No,Senior Notes due 10/15/2024,10/15/14,10/15/14
DRU*,"Dominion Resources,",2009,No,No,No,No,Series A 8.375% Enhanced Junior Subordinated Notes,6/15/14,10/15/14
MLU**,"MetLife,",5.00%,No,No,No,No,Common Equity Units,10/10/12,10/08/14
CBKAL*,"CoBank ACB,",11.0%,No,Yes,No,No,"Non-cumulative Perpetual Preferred Stock, Series D",10/01/14,10/01/14
SAN-E*,"Santander Finance Preferred,",10.5%,No,No,No,No,Non-Cumul Guar Series 10 Preferred Stock,9/29/14,9/29/14
SAN-F*,"Santander Finance Preferred,",10.5%,No,No,No,No,FtoF Non-Cumul Guar Series 11 Preferred Stock,9/29/14,9/29/14
PJL*,ML Depositor PreferredPlus,7.625%,No,No,No,No,Verizon Global Certificates VER-1,6/01/07,9/29/14
WRD*,"Weingarten Realty Investors,",8.10%,No,No,No,No,Notes due 9/15/2019,9/15/14,9/15/14
DRE-J*,"Duke Realty Corp.,",6.625%,Yes,No,No,No,Dep Shares Series J Cumul Preferred Shares,8/25/08,8/04/14
NMT-C*,"Nuveen Massachusetts Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 2/1/2015,2/01/12,7/11/14
NMT-D*,"Nuveen Massachusetts Premium Income Municipal Fund,",2.75%,No,No,No,No,MTP Pfd 2/1/2016,2/01/13,7/11/14
NMT-E*,"Nuveen Massachusetts Premium Income Municipal Fund,",2.60%,No,No,No,No,MTP Pfd 4/1/2015,4/01/12,7/11/14
NMT-F*,"Nuveen Massachusetts Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 3/1/2015,3/01/12,7/11/14
LHO-G*,"LaSalle Hotel Properties,",7.25%,Yes,No,No,Yes,Series G Cumulative Redeemable Preferred Shares,11/17/11,7/03/14
BEE-C*,"Strategic Hotels &amp; Resorts,",8.25%,Yes,No,No,Yes,Series C Cumul Redeem Preferred Stock,5/17/11,7/03/14
AMP-A*,"Ameriprise Financial Inc.,",7.75%,No,No,No,No,Senior Notes due 6/15/2039,6/15/14,6/16/14
AEF*,"AEGON N.V.,",7.25%,No,Yes,No,No,Perpetual Capital Securities,12/15/12,6/15/14
NXK-C*,"Nuveen New York Dividend Advantage Municipal Fund 2,",2.55%,No,No,No,No,MTP Pfd 5/1/2015,5/01/12,6/13/14
NAN-C*,"Nuveen New York Dividend Advantage Municipal Fund,",2.70%,No,No,No,No,MTP Pfd 1/1/2015,1/01/12,6/13/14
NAN-D*,"Nuveen New York Dividend Advantage Municipal Fund,",2.50%,No,No,No,No,MTP Pfd 1/1/2016,1/01/12,6/13/14
CTGSP,"Connecticut Natural Gas Corp.,",8.00%,Yes,No,No,No,Cumulative Preferred Stock,N/A,6/05/14
NMY-C*,"Nuveen Maryland Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 2/1/2015,2/01/12,5/30/14
NMY-D*,"Nuveen Maryland Premium Income Municipal Fund,",2.90%,No,No,No,No,MTP Pfd 4/1/2016,4/01/13,5/30/14
NMY-E*,"Nuveen Maryland Premium Income Municipal Fund,",2.60%,No,No,No,No,MTP Pfd 5/1/2015,5/01/12,5/30/14
NMY-F*,"Nuveen Maryland Premium Income Municipal Fund,",2.60%,No,No,No,No,MTP Pfd 5/1/2015,5/01/12,5/30/14
NMY-G*,"Nuveen Maryland Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 3/1/2015,3/01/12,5/30/14
NMY-H*,"Nuveen Maryland Premium Income Municipal Fund,",2.85%,No,No,No,No,MTP Pfd 2/1/2016,2/01/13,5/30/14
NKG-C*,"Nuveen Georgia Dividend Advantage Municipal Fund 2,",2.65%,No,No,No,No,MTP Pfd 2/1/2015,2/01/12,5/30/14
NKG-D*,"Nuveen Georgia Dividend Advantage Municipal Fund 2,",2.65%,No,No,No,No,MTP Pfd 3/1/2015,3/01/12,5/30/14
NKG-E*,"Nuveen Georgia Dividend Advantage Municipal Fund 2,",2.65%,No,No,No,No,MTP Pfd 3/1/2015,3/01/12,5/30/14
NQP-C*,"Nuveen Pennsylvania Dividend Advantage Municipal Fund,",2.10%,No,No,No,No,MTP Pfd 11/1/2015,5/01/12,5/30/14
NQP-D*,"Nuveen Pennsylvania Dividend Advantage Municipal Fund 2,",2.15%,No,No,No,No,MTP Pfd 11/1/2015,5/01/12,5/30/14
DDR-H*,"DDR Corp.,",7 3/8%,Yes,No,No,Yes,Dep Shares Class H Cumulative Redeemable Preferred Shares,7/28/08,5/30/14
GLADP*,"Gladstone Capital Corp.,",7.125%,No,No,No,No,Series 2016 Term Preferred Stock,12/31/13,5/23/14
EQC-D,"Equity Commonwealth,",6 1/2%,Yes,No,Yes,No,Series D Cumulative Convertible Preferred Shares,11/20/11,5/14/14
MLG*,"MetLife,",5.875%,No,No,No,No,Senior Notes due 11/21/2033,11/21/08,5/05/14
CUZ-B*,"Cousins Properties Inc.,",7 1/2%,Yes,No,No,Yes,Series B Cumulative Redeemable Preferred Stock,12/17/09,4/14/14
NRK-C*,"Nuveen Insured New York Tax-Free Advantage Muni Fund,",2.55%,No,No,No,No,MTP Pfd 5/1/2015,5/01/12,4/11/14
NZF-C*,"Nuveen Dividend Advantage Municipal Fund 3,",2.80%,No,No,No,No,MTP Pfd 1/1/2016,1/01/12,4/11/14
BEE-A*,"Strategic Hotels &amp; Resorts,",8.50%,Yes,No,No,Yes,Series A Cumul Redeem Preferred Stock,3/16/10,4/03/14
PHA**,"PulteGroup Inc.,",7.375%,No,No,No,No,Senior Notes due 6/1/2046,6/01/11,3/26/14
AEV*,"AEGON N.V.,",6.875%,No,Yes,No,No,Perpetual Capital Securities,9/15/11,3/15/14
GOM*,"GMAC LLC,",7.375%,No,No,No,No,Notes due 12/16/2044,12/16/09,3/14/14
NTC-C*,"Nuveen Connecticut Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 2/1/2015,2/01/12,3/03/14
NTC-D*,"Nuveen Connecticut Premium Income Municipal Fund,",2.55%,No,No,No,No,MTP Pfd 1/1/2016,1/01/12,3/03/14
NTC-E*,"Nuveen Connecticut Premium Income Municipal Fund,",2.60%,No,No,No,No,MTP Pfd 4/1/2015,4/01/12,3/03/14
NTC-F*,"Nuveen Connecticut Premium Income Municipal Fund,",2.60%,No,No,No,No,MTP Pfd 4/1/2015,4/01/12,3/03/14
NTC-G*,"Nuveen Connecticut Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 3/1/2015,3/01/12,3/03/14
NNC-C*,"Nuveen North Carolina Premium Income Municipal Fund,",2.65%,No,No,No,No,MTP Pfd 2/1/2015,2/01/12,3/03/14
