Symbol,NAME,PERCENT,Cumulative,Perpetual,Convertible,Redeemable,Other,Original Call Date,Actual Date Called
RBS-G*,"Royal Bank of Scotland,",7.40%,No,No,No,No,Non-cumul Dollar Preference Shares Series G ADR,3/31/03,1/16/07
RBS-E*,"Royal Bank of Scotland,",8.10%,No,No,No,No,Non-cumul Dollar Preference Shares Series E ADR,10/17/06,1/16/07
RBS-K*,"Royal Bank of Scotland,",7.875%,No,No,No,No,Non-cumul Dollar Preference Shares Series K ADR,6/30/06,1/16/07
NW-B*,"National Westminster Bank,",7.875%,No,No,No,No,"Non-cumul Pref Shares, Series B ADR",6/09/03,1/16/07
RNR-A*,"RenaissanceRe Holdings Ltd,",8.10%,No,No,No,No,Series A Preference Shares,11/19/06,1/15/07
PKO*,ML Depositor PreferredPlus,8.05%,No,No,No,No,News America Certificates NAI-1,12/01/06,1/11/07
CASPO*,"Case Pomeroy &amp; Co. Inc., Series A",10.0%,Yes,No,No,No,Cumulative Preference Stock,N/A,1/03/07
CASPP*,"Case Pomeroy &amp; Co. Inc.,",6.0%,Yes,No,No,No,Cumulative Preferred Stock,N/A,1/03/07
PJH*,ML Depositor PreferredPlus,8.00%,No,No,No,No,Belo Corp. Certificates BLC-2,9/15/06,1/03/07
PIL*,ML Depositor PreferredPlus,7.875%,No,No,No,No,Belo Corp. Certificates BLC-1,9/15/06,1/02/07
NNN-A*,"National Retail Properties,",9.00%,No,No,No,No,Series A Non-Voting Preferred Stock,12/31/06,1/02/07
TED-B*,"Toledo Edison Co.,",4 1/4%,Yes,No,No,No,Series B Cumul Preferred Stock,N/A,12/15/06
TEDBL*,"Toledo Edison Co.,",4.56%,Yes,No,No,No,Cumul Preferred Stock,N/A,12/15/06
TEDBP*,"Toledo Edison Co.,",4.25%,Yes,No,No,No,Cumul Preferred Stock,N/A,12/15/06
TED-F*,"Toledo Edison Co.,",$2.365,Yes,No,No,No,Cumul Preferred Stock,N/A,12/15/06
PPWCN*,"Pennsylvania Power Co.,",4.64%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,12/15/06
PPWCO*,"Pennsylvania Power Co.,",4.25%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,12/15/06
PPWCP*,"Pennsylvania Power Co.,",4.24%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,12/15/06
JPT*,"JPMorgan Chase Capital IX,",7.50%,No,No,No,No,"Capital Securities, Series I",4/30/06,12/04/06
CHK-B*,"Chesapeake Energy Corp.,",5.00%,Yes,No,Yes,No,Cumulative Convertible Preferred Stock,11/18/06,11/20/06
AMCRP*,"Amcor Ltd,",7.25%,No,No,No,No,PRIDES ADR,11/19/06,11/19/06
ABSNU*,"Albertson's Inc.,",7.25%,No,No,No,No,HITS Hybrid Income Security Units due 5/16/2007,5/16/07,11/16/06
ANB-B*,"Abbey National plc,",7 3/8%,No,No,No,No,"Non-cumul Dollar Preference Shares, Series B ADR",11/08/06,11/09/06
SIZ-B*,"Sizeler Property Investors, Inc.",9.75%,Yes,No,No,Yes,Cumul Redeem Preferred Stock Series B,5/06/07,11/08/06
PSA-S*,"Public Storage Inc.,",7.875%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series S",10/31/06,10/31/06
OGBYP*,"Oglebay Norton Co.,",14.8275%,No,No,Yes,No,Series A Convertible Preferred Stock,N/A,10/30/06
AVU**,"Vectren Utility Holdings,",7 1/4%,No,No,No,No,Senior Notes due 10/15/2031,10/19/06,10/19/06
SXA*,"Abbey National plc,",7.25%,No,Yes,No,No,Perpetual Subordinated Capital Securities,10/15/06,10/16/06
TAFLP*,"Totta &amp; Acores Financing Ltd,",8.875%,No,No,No,No,Series A Non-cumul Guar Pref Shares,N/A,10/11/06
SPG-F*,"Simon Property Group,",8 3/4%,Yes,No,No,No,Series F Cumul Preferred Shares,9/29/06,10/04/06
CMM-B*,"CRIIMI MAE, Inc.",10.875%,Yes,No,Yes,No,Series B Cumul Convertible Preferred Stock,8/08/06,9/29/06
PSA-R*,"Public Storage Inc.,",8.00%,Yes,No,No,No,"Dep Shares Cumul Preferred Stock, Series R",9/28/06,9/28/06
JYP-*,"Jersey Central Power &amp; Light Co.,",4%,Yes,No,No,No,Series Cumul Preferred Stock,N/A,9/15/06
AMH-*,"AmerUs Group Co.,",7.25%,No,Yes,No,No,Series A Non-cumulative Perpetual Preferred Stock,9/15/10,9/13/06
SHU-C*,"Shurgard Storage Centers,",8.70%,Yes,No,No,Yes,Cumul Redeem Preferred Stock C,12/08/03,8/22/06
SHU-D*,"Shurgard Storage Centers,",8.75%,Yes,No,No,Yes,Cumul Redeem Preferred Stock D,2/27/06,8/22/06
AMPLO*,"Ampal-American Israel Corp.,",4%,Yes,No,Yes,No,Cumul Convertible Preferred Stock,N/A,7/31/06
AMPLP*,"Ampal-American Israel Corp.,",6 1/2%,Yes,No,Yes,No,Cumul Convertible Preferred Stock,N/A,7/31/06
BBV-B*,"BBVA Preferred Capital Ltd,",7.75%,No,No,No,No,Non-cum Guar Preference Shares Series B,6/30/06,7/24/06
AIV-R*,"Apartment Investment &amp; Management,",10.0%,Yes,No,No,No,Class R Cumul Preferred Stock,7/20/06,7/20/06
BAC-A*,"Bank of America,",6.75%,No,Yes,No,No,Dep Shares Series VI Perp Preferred Stock,4/15/06,7/14/06
CRE-E*,"CarrAmerica Realty Corp.,",7.50%,Yes,No,No,Yes,Series E Cumul Redeem Preferred Stock,9/25/08,7/13/06
OEC-A*,"Ohio Edison Co.,",3.90%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,7/07/06
OEC-B*,"Ohio Edison Co.,",4.40%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,7/07/06
OEC-C*,"Ohio Edison Co.,",4.44%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,7/07/06
OEC-D*,"Ohio Edison Co.,",4.56%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,7/07/06
BACPP*,"Bank of America, Fixed/Adj Dep Shares Series",7,Yes,No,No,No,Cumul Preferred Stock,N/A,7/03/06
XMSRP*,"XM Satellite Radio Holdings Inc.,",8.25%,No,No,Yes,No,Series B Convertible Preferred Stock,2/03/03,6/26/06
AEF**,"Aetna Inc.,",8.50%,No,No,No,No,Senior Notes due 8/31/2041,6/18/06,6/19/06
EGYLO*,"Entergy Louisiana,",7.36%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EGYPP*,"Entergy Louisiana,",8.00%,Yes,No,No,No,Series 1992 Cumul Preferred Stock,N/A,6/15/06
EYLAH*,"Entergy Louisiana,",6.44%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EYLAI*,"Entergy Louisiana,",7.84%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
EYLAL*,"Entergy Louisiana,",5.40%,Yes,No,No,No,Series Cumulative Preferred Stock,N/A,6/15/06
